id, x, y, z, roll, pitch, yaw, mse, rmse
1,93.07,50.14,1107.44,-44.31,-0.56,-0.13,347.23,18.63
0,301.12,62.37,1107.48,-155.93,0.18,0.03,368.49,19.2
1,57.92,50.99,1008.62,-58.86,-0.92,-0.28,330.47,18.18
0,242.01,74.89,1041.86,-137.64,0.23,0.04,352.71,18.78
1,43.13,48.28,1025.14,-63.51,-1.21,-0.46,335.88,18.33
0,219.89,46.2,1045.65,-125.5,0.25,0.06,355.88,18.86
1,27.82,54.29,1038.62,-59.63,-1.79,-0.81,362.32,19.03
0,236.15,53.29,1042.52,-129.84,0.23,0.05,360.37,18.98
1,205.31,1.31,1035.21,-74.61,-0.26,0.1,4.73,2.17
0,-1.8,-12.94,1045.33,90.2,12.08,154.61,7.0,2.65
1,202.67,-2.71,1151.32,-73.64,-0.26,0.1,8.66,2.94
0,32.94,-33.31,1116.96,90.42,0.72,1.52,6.58,2.57
1,204.68,-29.94,1386.89,-62.69,-0.27,0.06,4.21,2.05
0,-5.31,-20.85,1414.53,83.41,3.63,170.01,5.21,2.28
1,174.04,-13.48,1394.72,-50.09,-0.31,0.08,3.38,1.84
0,-34.21,-2.95,1432.71,84.68,0.46,178.39,1.87,1.37
1,179.86,-0.53,1508.5,-100.34,-0.31,0.07,1.52,1.23
0,-27.69,11.66,1521.48,86.99,0.54,178.01,3.43,1.85
1,58.21,70.45,1538.93,-71.95,-0.81,-0.54,361.57,19.01
0,215.5,51.52,1532.09,-100.19,0.25,0.1,355.65,18.86
1,37.13,53.74,1482.81,-90.03,-1.29,-0.84,344.36,18.56
0,201.24,34.83,1493.47,-105.84,0.26,0.11,347.87,18.65
1,155.01,0.14,1538.03,-58.7,-0.36,0.08,0.99,0.99
0,-27.56,10.64,1547.07,87.61,0.49,178.01,2.51,1.58
1,119.73,35.29,1651.06,-70.37,-0.46,0.11,3.62,1.9
0,-76.67,42.14,1648.31,93.6,0.06,179.28,1.38,1.18
1,-19.89,86.1,1705.17,-93.29,-2.2,-178.14,354.14,18.82
0,136.69,70.56,1727.98,-91.22,0.39,0.15,348.48,18.67
1,-77.29,65.14,1874.96,-88.63,-0.59,-179.55,346.0,18.6
0,164.61,61.92,1898.79,-113.33,0.32,0.12,353.57,18.8
1,42.96,67.82,1081.29,-91.53,-0.98,-0.88,367.95,19.18
0,280.94,64.06,1114.15,-85.38,0.19,0.08,368.77,19.2
1,53.29,58.46,1085.8,-97.02,-0.8,-0.72,355.03,18.84
0,288.35,64.38,1105.68,-94.57,0.18,0.08,362.18,19.03
