dis,relia,err0,err1,err2,err3,angle0,angle1,angle2,mse,rmse,table,id0,id1,id2,id3
506.13754, 98.02226, -1.1502333, -1.0989637, -1.1021194, -1.3017998, 0.7377348829427819, 28.994358717154665, -99.7698282392004, 1.9774303868418721, 1.406211359235116, 0, 1, 4, 3, 2, 
501.89297, 98.19218, -1.0514145, -1.1921816, -1.3611393, -1.7418337, 0.2976435608235884, 29.602342298030855, -90.66593581713008, 2.738922798168551, 1.654969123025729, 0, 1, 4, 3, 2, 
497.0898, 98.07997, -1.1166735, -1.4333572, -1.9350996, -1.4397678, -0.993469152668895, 30.50824649881757, -80.69348694736918, 3.3712921155451676, 1.8361078714348913, 0, 1, 4, 2, 3, 
492.6203, 97.63237, -1.3769941, -1.2141771, -1.681716, -1.531209, -0.5118059841247715, 30.305185107075967, -70.42339691047212, 3.131183302798152, 1.7695149908373626, 0, 1, 4, 2, 3, 
488.18936, 97.9846, -1.1721392, -1.0535774, -1.192421, -1.4095945, -0.21542056856666236, 28.52943345631408, -61.316672692524115, 2.0852374617931577, 1.444035131772478, 0, 1, 4, 2, 3, 
483.69098, 98.688126, -0.7629757, -1.1020947, -1.2057056, -1.1909275, 0.3018193653469516, 28.89794104101014, -50.014836445223594, 1.7656175770861373, 1.3287654334329055, 0, 1, 4, 2, 3, 
477.63635, 98.01389, -1.1551008, -1.1552849, -1.0319252, -1.1498728, -1.1522499582219143, 29.122095392072772, -41.039732483399945, 1.7790101016821092, 1.333795374741609, 0, 1, 2, 4, 3, 
473.9215, 98.0502, -1.1339846, -1.3878384, -1.090805, -1.0804987, 0.08121356816010117, 30.229762432545744, -30.40745195395437, 1.959143977022812, 1.399694244120055, 0, 1, 2, 4, 3, 
469.71347, 97.998055, -1.1643143, -1.2346134, -1.1058636, -1.2867088, -0.29238816726709976, 29.430323918180648, -21.167918885097365, 1.9940290604955218, 1.4121009384939598, 0, 1, 2, 4, 3, 
465.3451, 97.880295, -1.2328005, -1.0766764, -1.12356, -1.275362, -1.6330704033079166, 29.083262316866826, -11.679485294655068, 1.9519174086271336, 1.3971103781115985, 0, 1, 2, 4, 3, 
499.58563, 97.91263, -1.1320686, -1.5163879, -1.3050852, -1.2215395, -0.21826899363306201, 30.069862728727628, 8.95915946286197, 2.393442887984579, 1.547075592201163, 0, 2, 1, 3, 4, 
496.12387, 97.568115, -1.3189135, -1.2268744, -1.2000122, -1.0679493, 0.07434087646031635, 29.81941455351105, 18.92777486640519, 2.074904938215286, 1.440453032283693, 0, 2, 1, 3, 4, 
491.10452, 97.7679, -1.2105627, -1.328373, -1.1926804, -1.2566576, -1.9639585980338086, 29.433800765638527, 28.091784237774913, 2.2363760972668203, 1.495451803725824, 0, 2, 1, 3, 4, 
487.6075, 97.74037, -1.2254934, -1.0525026, -1.3257446, -1.1581364, 0.10134245743829715, 29.658103508165013, 39.106055406638845, 2.075925916939585, 1.440807383705256, 0, 2, 3, 1, 4, 
482.96964, 98.04283, -1.0614538, -1.0478973, -1.0888128, -0.9709778, -0.5224214467991711, 29.941215461653684, 49.01903008238967, 1.5769075296947372, 1.2557497878537496, 0, 2, 3, 1, 4, 
470.98422, 97.47697, -1.3683462, -1.2545862, -1.288187, -1.1433563, 0.3323533137387651, 29.795208593304093, 80.47406459991076, 2.2239005672325463, 1.4912748127801752, 0, 2, 3, 4, 1, 
467.6919, 97.63534, -1.2824554, -1.191576, -1.4759407, -1.0693951, -1.767564810299039, 30.126232084620145, 88.3931169413411, 2.2709141191409437, 1.5069552478892476, 0, 2, 3, 4, 1, 
493.65384, 98.23002, -0.8949127, -1.6127224, -1.1573954, -1.3804541, -1.2889585988647467, 31.28160354746575, 99.19153856778766, 2.484072145406715, 1.5760939519605788, 0, 3, 2, 4, 1, 
490.98315, 97.617714, -1.2044973, -1.5034342, -1.1867342, -1.366271, -0.7252248443423942, 31.551305711187876, 109.32087648483423, 2.4596622668712538, 1.568331045051157, 0, 3, 2, 4, 1, 
488.20895, 97.67461, -1.1757317, -1.1044912, -1.1119976, -1.45786, 0.11111530815563263, 30.706344134353742, 118.8815038479887, 2.125232618656546, 1.4578177590688577, 0, 3, 2, 4, 1, 
483.4453, 98.03228, -0.9948883, -1.2964048, -1.2506332, -1.4193983, -0.2331917386707527, 30.179351902942994, 128.95147665305757, 2.2349563776755215, 1.4949770492136398, 0, 3, 2, 4, 1, 
480.23306, 96.882866, -1.5760365, -1.3283968, -1.4109879, -1.6546316, -0.7638094069821496, 29.764707041707453, 138.97781387448, 3.129582563555729, 1.7690626228474018, 0, 3, 4, 2, 1, 
477.20114, 96.95817, -1.5379639, -1.4385748, -1.5591297, -1.6528025, -0.8385712852328759, 29.85361571842412, 148.26817669654918, 3.3206947263971145, 1.8222773461789823, 0, 3, 4, 2, 1, 
475.05508, 97.209724, -1.410778, -1.1873884, -1.4558506, -1.6035547, -0.10039362926253294, 30.282597755355283, 157.68665904975865, 2.832131911644041, 1.682893909800627, 0, 3, 4, 2, 1, 
471.86127, 97.35445, -1.3376036, -1.3882275, -1.2626009, -1.4254265, -0.7882638292262477, 29.469010490773414, 168.61046260828044, 2.5448217581081414, 1.5952497478790402, 0, 3, 4, 2, 1, 
